  מַהוּ בָּעַל הַחַיִּים  הַכָּבֵד   בַּיּוֹתֵר?,לווייתן הכחול
איזו חיה מחזיקה את גוריה בכיס?,קנגורו
מהי החיה הדומה ביותר לאדם?,שימפנזה
מהו הטורף היבשתי הגדול ביותר?,דב קוטב
סוג של יונק מעופף נפוץ,עטלף
איזו חיה מייצרת דבש?,דבורה
מה מייצרת תולעת-משי?,חוטי משי
מהי הציפור המהירה ביותר?,בז
איזו חיה בונה סכרים?,בונה
מה נוצר מהכלאה של סוסה וחמור?,פרד
מה השם של נקבת החמור?,אתון
מה השם של נקבת הגמל?,נאקה
מהי החיה המהירה ביותר ביבשה?,צ'יטה
מהו סוג הכלב הגבוה ביותר?,דני ענק
איזה לוויתן בעל צבעים שחור ולבן?,לוויתן קטלן
מהו בעל-החיים היבשתי הגדול ביותר?,פיל
איזה זוחל מגיע לאורך 6 מטר,תנין
מה בעל-החיים שחי מעל 100 שנה?,צב
איזה עופות הופכים לורודים בגלל המזון שהם אוכלים?,פלמינגו
מהו הכריש הגדול ביותר?,כריש לוויתן
מה היצור שמגדל אצות על פרוותו?,עצלן
למי יש טבעות בזנב?,למור
