הנפוץ מבין העופות המבויתים,תרנגול,
עוף מים בעל מקור דמוי שק,שקנאי,
לטאה נפוצה בבתים,שממית,
תולעת השוכנת בקרקע,שלשול,
החיה הנבונה ביותר,שימפנזה,
חיה הרוחצת את מזונה,ראקון,
חיה בעלת קרניים ארוכות,ראם,
חיה בעלת קרן אחת,קרנף,
חיה בעלת כיס,קנגורו,
לטאה חסרת רגליים,קמטן,
בעל חיים בעל קוצים,קיפוד,
המכרסם הגדול ביותר,קופיבארא,
הגדול שבעופות הדורסים,קונדור,
ציפור שניזונה מצוף וחרקים,קוליברי,
יצור השומע בברכיו,צרצר,
דג מוארך הדומה לנחש,צלופח,
תור העיר,צוצלת,
טורף בעל יללה הדומה לצחוק,צבוע,
בעל חי מאריך ימים,צב,
בן כלאיים של סוס ואתון,פרד,
שועל מדבר,פנק,
ארוך אף ושיניים,פיל,
"החרק ""כלב מים""",ערצב,
שרץ בעל עוקץ בזנב,עקרב,
יצור היושן כשראשו כלפי מטה,עטלף,
דג משה רבנו,סנדל,
טורף קטן ממחלקת היונקים,סמור,
בהמת הרכיבה הנפוצה ביותר,סוס,
מלך העופות,נשר,
עוף בעל מקור חזק,נקר,
דג הניזון מטפילי דגים אחרים,נקאי,
"ציפור שיר ""אלגנטית""",נחליאלי,
אם הביכרה,נאקה,
גמל חסר דבשת )דרום אמריקה(,למה,
היונק הגדול ביותר,לויתן,
ידידו הטוב של האדם,כלב,
בהמת משא טיבטית,יק,
הגדול שבעופות,יען,
דורס לילה,ינשוף,
ציפור היכולה לעוף גם אחורנית,יונק דבש,
בעל חי ששימש להובלת דואר,יונה,
עוף בעל מקור ענק,טוקן,
משמש ללכידת עכברים,חתול,
ציפור המשפדת את טרפה על קוצים,חנקן,
בעל האתון,חמור,
עוף דורס הניזון מזוחלים,חיואי,
מכרסם החופר מחילות באדמה,חולד,
היונק הטורף הקטן ביותר,חדף,
נחש זריז ותוקפני,זעמן,
לטאה היכולה לשנות את צבעה,זיקית,
יונק בעל גוף מפוספס,זברה,
הגדול בעטלפים,השועל המעופף,
בהמות,הפופוטם,
כלב בר אוסטרלי,דינגו,
הפקח מבין הדגים,דולפין,
ציפור בעלת כתר על הראש,דוכיפת,
ספינת המדבר,גמל,
גמל נמרי, יונק מעלה גרה,ג'ירפה
ציפור שיר ממשפחת הפרושיים,גבתון,
העוף בעל הביצה הגדולה ביותר,בת יענה,
טורף מהיר וגמיש, נוח לאילוף,ברדלס
אשת הגמל,ביכרה,
המהיר בין העופות הדורסים,בז,
יונק השוכן על גדות נחלים,בונה,
יונק המפיץ ריח רע כאזהרה,בואש,
נקבת החמור,אתון,
יונק בעל שריון,ארמדיל,
מלך החיות,אריה,
עז הבר,אקו,
נחש ארסי ממשפחת הצפעוניים,אפעה,
הנחש הארוך ביותר בעולם,אנקונדה,
יתוש הקדחת,אנופלס,
דג מאכל,אמנון,
הקטנה שבין הצפרדעים בישראל,אילנית,
עוף גדול ממשפחת הכפניים,איביס,
חיה טורפת ממשפחת הכלבים,אי,
קוף גדול ומפותח,אורנג-אוטנג,
חיה אפריקאית ממשפחת הג'ירפים,אוקפי,
עוף בית גדול,אוז,
יונק קטן ממשפחת העכברים,אוגר,
